"Name","SamAccountName","GroupCategory","GroupScope","Description","DistinguishedName"
"HR Group","HR Group","Security","Global",,"CN=HR Group,OU=Domain Groups,DC=Corp,DC=local"
"Hyper-V Administrators","Hyper-V Administrators","Security","DomainLocal","Members of this group have complete and unrestricted access to all features of Hyper-V.","CN=Hyper-V Administrators,CN=Builtin,DC=Corp,DC=local"
"IAM Admins","IAM Admins","Security","Global",,"CN=IAM Admins,OU=Domain Groups,DC=Corp,DC=local"
"IIS_IUSRS","IIS_IUSRS","Security","DomainLocal","Built-in group used by Internet Information Services.","CN=IIS_IUSRS,CN=Builtin,DC=Corp,DC=local"
"Incoming Forest Trust Builders","Incoming Forest Trust Builders","Security","DomainLocal","Members of this group can create incoming, one-way trusts to this forest","CN=Incoming Forest Trust Builders,CN=Builtin,DC=Corp,DC=local"
"IT Group","IT Group","Security","Global",,"CN=IT Group,OU=Domain Groups,DC=Corp,DC=local"
"Key Admins","Key Admins","Security","Global","Members of this group can perform administrative actions on key objects within the domain.","CN=Key Admins,CN=Users,DC=Corp,DC=local"
"Network Configuration Operators","Network Configuration Operators","Security","DomainLocal","Members in this group can have some administrative privileges to manage configuration of networking features","CN=Network Configuration Operators,CN=Builtin,DC=Corp,DC=local"
"OpenSSH Users","OpenSSH Users","Security","DomainLocal","Members of this group may connect to this computer using SSH.","CN=OpenSSH Users,CN=Builtin,DC=Corp,DC=local"
"Performance Log Users","Performance Log Users","Security","DomainLocal","Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer","CN=Performance Log Users,CN=Builtin,DC=Corp,DC=local"
"Performance Monitor Users","Performance Monitor Users","Security","DomainLocal","Members of this group can access performance counter data locally and remotely","CN=Performance Monitor Users,CN=Builtin,DC=Corp,DC=local"
"Pre-Windows 2000 Compatible Access","Pre-Windows 2000 Compatible Access","Security","DomainLocal","A backward compatibility group which allows read access on all users and groups in the domain","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=Corp,DC=local"
"Print Operators","Print Operators","Security","DomainLocal","Members can administer printers installed on domain controllers","CN=Print Operators,CN=Builtin,DC=Corp,DC=local"
"Privileged Security Admins","Privileged Security Admins","Security","Global",,"CN=Privileged Security Admins,OU=Domain Groups,DC=Corp,DC=local"
"Protected Users","Protected Users","Security","Global","Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information.","CN=Protected Users,CN=Users,DC=Corp,DC=local"
"RAS and IAS Servers","RAS and IAS Servers","Security","DomainLocal","Servers in this group can access remote access properties of users","CN=RAS and IAS Servers,CN=Users,DC=Corp,DC=local"
"RDS Endpoint Servers","RDS Endpoint Servers","Security","DomainLocal","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.","CN=RDS Endpoint Servers,CN=Builtin,DC=Corp,DC=local"
"RDS Management Servers","RDS Management Servers","Security","DomainLocal","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.","CN=RDS Management Servers,CN=Builtin,DC=Corp,DC=local"
"RDS Remote Access Servers","RDS Remote Access Servers","Security","DomainLocal","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.","CN=RDS Remote Access Servers,CN=Builtin,DC=Corp,DC=local"
"Read-only Domain Controllers","Read-only Domain Controllers","Security","Global","Members of this group are Read-Only Domain Controllers in the domain","CN=Read-only Domain Controllers,CN=Users,DC=Corp,DC=local"
"Remote Access Users","Remote Access Users","Security","Global",,"CN=Remote Access Users,OU=Domain Groups,DC=Corp,DC=local"
"Remote Desktop Users","Remote Desktop Users","Security","DomainLocal","Members in this group are granted the right to logon remotely","CN=Remote Desktop Users,CN=Builtin,DC=Corp,DC=local"
"Remote Management Users","Remote Management Users","Security","DomainLocal","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.","CN=Remote Management Users,CN=Builtin,DC=Corp,DC=local"
"Replicator","Replicator","Security","DomainLocal","Supports file replication in a domain","CN=Replicator,CN=Builtin,DC=Corp,DC=local"
"Schema Admins","Schema Admins","Security","Universal","Designated administrators of the schema","CN=Schema Admins,CN=Users,DC=Corp,DC=local"
"Security Group","Security Group","Security","Global",,"CN=Security Group,OU=Domain Groups,DC=Corp,DC=local"
"Server Operators","Server Operators","Security","DomainLocal","Members can administer domain servers","CN=Server Operators,CN=Builtin,DC=Corp,DC=local"
"Storage Replica Administrators","Storage Replica Administrators","Security","DomainLocal","Members of this group have complete and unrestricted access to all features of Storage Replica.","CN=Storage Replica Administrators,CN=Builtin,DC=Corp,DC=local"
"Terminal Server License Servers","Terminal Server License Servers","Security","DomainLocal","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage","CN=Terminal Server License Servers,CN=Builtin,DC=Corp,DC=local"
"Users","Users","Security","DomainLocal","Users are prevented from making accidental or intentional system-wide changes and can run most applications","CN=Users,CN=Builtin,DC=Corp,DC=local"
"VPN Users","VPN Users","Security","Global",,"CN=VPN Users,OU=Domain Groups,DC=Corp,DC=local"
"Windows Authorization Access Group","Windows Authorization Access Group","Security","DomainLocal","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects","CN=Windows Authorization Access Group,CN=Builtin,DC=Corp,DC=local"
